Customer Name,Email,Last Order Date,Total Order Value,Last 3 Items Ordered,
Andrew Hunter,udit.jain+MIStest@solarsales.in,11-03-25,135388,"Lemon Juice, Mango Crush, Vanilla Frappe",
Walter Scott,udit.jain+MIStest@solarsales.in,31/05/25,131892,"Vanilla Frappe, Lemon Juice, Watermelon Syrup",
Martin Turner,udit.jain+MIStest@solarsales.in,20/05/25,225335,"Vanilla Frappe, Strawberry Crush, Orange Crush",
Katie Moore,udit.jain+MIStest@solarsales.in,26/02/25,215284,"Mango Crush, Kiwi Crush, Chocolate Frappe",
Dawn Walker,udit.jain+MIStest@solarsales.in,26/01/25,75295,"Orange Crush, Lime Juice, Cola Base",
Lauren Mckinney,udit.jain+MIStest@solarsales.in,11-03-25,119033,"Choco Sauce, Lime Juice, Soda Base",
Ricardo French,udit.jain+MIStest@solarsales.in,02-03-25,170459,"Orange Crush, Choco Sauce, Strawberry Crush",
Audrey Watson,udit.jain+MIStest@solarsales.in,02-04-25,167433,"Mango Crush, Vanilla Frappe, Soda Base",
John Ryan,udit.jain+MIStest@solarsales.in,07-05-25,156163,"Orange Crush, Choco Sauce, Cola Base",
Becky Hayes,udit.jain+MIStest@solarsales.in,02-06-25,205047,"Lime Juice, Lemon Juice, Mint Mojito",
Whitney Williams,udit.jain+MIStest@solarsales.in,21/04/25,114204,"Cola Base, Soda Base, Kiwi Crush",
Joshua Jones,udit.jain+MIStest@solarsales.in,12-06-25,212582,"Blueberry Syrup, Green Apple Syrup, Cola Base",
John Wright,udit.jain+MIStest@solarsales.in,19/02/25,228733,"Mint Mojito, Blueberry Syrup, Watermelon Syrup",
Tom Carpenter,udit.jain+MIStest@solarsales.in,26/05/25,130410,"Soda Base, Orange Crush, Mango Crush",
William Smith,udit.jain+MIStest@solarsales.in,21/03/25,170139,"Orange Crush, Lemon Juice, Green Apple Syrup",
Diana Ruiz,udit.jain+MIStest@solarsales.in,10-03-25,167333,"Choco Sauce, Mango Crush, Watermelon Syrup",
Dr. Micheal Andrade,udit.jain+MIStest@solarsales.in,26/01/25,142292,"Cola Base, Watermelon Syrup, Strawberry Crush",
Kelly Walker,udit.jain+MIStest@solarsales.in,27/03/25,71779,"Watermelon Syrup, Blueberry Syrup, Mango Crush",
Phillip Johnson,udit.jain+MIStest@solarsales.in,09-05-25,171080,"Soda Base, Blueberry Syrup, Strawberry Crush",
Timothy Owens,udit.jain+MIStest@solarsales.in,01-06-25,79320,"Green Apple Syrup, Blueberry Syrup, Orange Crush",
Christine White,udit.jain+MIStest@solarsales.in,18/02/25,117349,"Watermelon Syrup, Vanilla Frappe, Mint Mojito",
Samantha Tucker,udit.jain+MIStest@solarsales.in,02-05-25,171971,"Chocolate Frappe, Green Apple Syrup, Strawberry Crush",
Steven King,udit.jain+MIStest@solarsales.in,22/01/25,108441,"Blueberry Syrup, Cola Base, Vanilla Frappe",
Bryan Williams,udit.jain+MIStest@solarsales.in,08-02-25,57879,"Choco Sauce, Chocolate Frappe, Lemon Juice",
Andrea Schmidt,udit.jain+MIStest@solarsales.in,20/03/25,179886,"Watermelon Syrup, Kiwi Crush, Chocolate Frappe",
Michael Smith,udit.jain+MIStest@solarsales.in,01-06-25,222987,"Lime Juice, Chocolate Frappe, Cola Base",
Jill Becker,udit.jain+MIStest@solarsales.in,22/04/25,185898,"Strawberry Crush, Choco Sauce, Soda Base",
Ronnie Smith,udit.jain+MIStest@solarsales.in,06-05-25,110793,"Lemon Juice, Orange Crush, Vanilla Frappe",
Jane Thompson,udit.jain+MIStest@solarsales.in,18/04/25,159924,"Blueberry Syrup, Mango Crush, Strawberry Crush",
Tammie Sanders,udit.jain+MIStest@solarsales.in,07-04-25,112484,"Soda Base, Orange Crush, Vanilla Frappe",
Bradley Peck,udit.jain+MIStest@solarsales.in,27/02/25,63019,"Kiwi Crush, Chocolate Frappe, Mint Mojito",
Elizabeth Ramsey,udit.jain+MIStest@solarsales.in,22/02/25,88790,"Soda Base, Choco Sauce, Strawberry Crush",
Mark Lang,udit.jain+MIStest@solarsales.in,21/03/25,138556,"Strawberry Crush, Orange Crush, Blueberry Syrup",
David Wise,udit.jain+MIStest@solarsales.in,20/03/25,206425,"Lemon Juice, Orange Crush, Mango Crush",
Kyle Jones,udit.jain+MIStest@solarsales.in,18/03/25,233078,"Lemon Juice, Strawberry Crush, Orange Crush",
Paige Melton,udit.jain+MIStest@solarsales.in,09-06-25,147678,"Strawberry Crush, Lemon Juice, Watermelon Syrup",
Daisy Diaz,udit.jain+MIStest@solarsales.in,11-02-25,216273,"Kiwi Crush, Vanilla Frappe, Soda Base",
Devin Jones MD,udit.jain+MIStest@solarsales.in,27/02/25,151131,"Chocolate Frappe, Choco Sauce, Green Apple Syrup",
Deborah Wheeler,udit.jain+MIStest@solarsales.in,06-02-25,170231,"Green Apple Syrup, Chocolate Frappe, Watermelon Syrup",
Jose Hernandez,udit.jain+MIStest@solarsales.in,20/02/25,171528,"Mint Mojito, Kiwi Crush, Cola Base",
Joseph Carney,udit.jain+MIStest@solarsales.in,18/05/25,114357,"Mango Crush, Chocolate Frappe, Kiwi Crush",
David Day,udit.jain+MIStest@solarsales.in,14/02/25,132014,"Chocolate Frappe, Mango Crush, Mint Mojito",
Willie Peck,udit.jain+MIStest@solarsales.in,01-03-25,115180,"Watermelon Syrup, Mint Mojito, Green Apple Syrup",
Ryan Nash,udit.jain+MIStest@solarsales.in,27/03/25,105372,"Green Apple Syrup, Cola Base, Choco Sauce",
Sherry Johnson,udit.jain+MIStest@solarsales.in,05-03-25,60875,"Green Apple Syrup, Soda Base, Cola Base",
Brian Guerrero,udit.jain+MIStest@solarsales.in,17/03/25,171411,"Kiwi Crush, Soda Base, Lime Juice",
Sean Evans,udit.jain+MIStest@solarsales.in,23/02/25,53475,"Kiwi Crush, Vanilla Frappe, Choco Sauce",
Wesley Gordon,udit.jain+MIStest@solarsales.in,14/02/25,117693,"Cola Base, Lemon Juice, Soda Base",
Thomas Burnett,udit.jain+MIStest@solarsales.in,04-03-25,226877,"Choco Sauce, Lemon Juice, Orange Crush",
Rachael Davenport,udit.jain+MIStest@solarsales.in,31/05/25,65815,"Lemon Juice, Blueberry Syrup, Cola Base",
Kaitlin Lee,udit.jain+MIStest@solarsales.in,14/02/25,220970,"Soda Base, Strawberry Crush, Kiwi Crush",
Bailey Cohen,udit.jain+MIStest@solarsales.in,01-03-25,119144,"Blueberry Syrup, Cola Base, Lime Juice",
Catherine Davis,udit.jain+MIStest@solarsales.in,14/06/25,129537,"Orange Crush, Green Apple Syrup, Lemon Juice",
Christopher Harris,udit.jain+MIStest@solarsales.in,05-03-25,180900,"Mint Mojito, Watermelon Syrup, Soda Base",
Mr. Joseph Campbell,udit.jain+MIStest@solarsales.in,18/01/25,146205,"Cola Base, Blueberry Syrup, Soda Base",
Steven Wright,udit.jain+MIStest@solarsales.in,02-06-25,149718,"Orange Crush, Lime Juice, Lemon Juice",
Martin Edwards,udit.jain+MIStest@solarsales.in,03-06-25,59816,"Watermelon Syrup, Cola Base, Mint Mojito",
Alexander Roth,udit.jain+MIStest@solarsales.in,01-06-25,155257,"Chocolate Frappe, Cola Base, Strawberry Crush",
Louis Hansen,udit.jain+MIStest@solarsales.in,31/01/25,241712,"Blueberry Syrup, Green Apple Syrup, Strawberry Crush",
Cindy Clay,udit.jain+MIStest@solarsales.in,23/01/25,221498,"Green Apple Syrup, Orange Crush, Mango Crush",
Tiffany Fisher,udit.jain+MIStest@solarsales.in,04-06-25,139315,"Vanilla Frappe, Lime Juice, Choco Sauce",
Alex Sanders,udit.jain+MIStest@solarsales.in,25/04/25,189549,"Kiwi Crush, Green Apple Syrup, Chocolate Frappe",
Jennifer Mccoy,udit.jain+MIStest@solarsales.in,04-03-25,145778,"Choco Sauce, Lemon Juice, Green Apple Syrup",
Tammy White,udit.jain+MIStest@solarsales.in,28/02/25,99397,"Vanilla Frappe, Mango Crush, Strawberry Crush",
Margaret Frost,udit.jain+MIStest@solarsales.in,14/06/25,60281,"Blueberry Syrup, Cola Base, Mango Crush",
Marc Mills,udit.jain+MIStest@solarsales.in,09-05-25,129557,"Kiwi Crush, Mango Crush, Soda Base",
Deborah Mitchell,udit.jain+MIStest@solarsales.in,14/03/25,96187,"Green Apple Syrup, Vanilla Frappe, Mint Mojito",
William Pearson,udit.jain+MIStest@solarsales.in,03-04-25,95869,"Blueberry Syrup, Orange Crush, Mint Mojito",
Benjamin Carpenter,udit.jain+MIStest@solarsales.in,06-02-25,107814,"Lime Juice, Green Apple Syrup, Kiwi Crush",
Joan Walker,udit.jain+MIStest@solarsales.in,05-03-25,128176,"Choco Sauce, Mint Mojito, Soda Base",
Mr. Justin Jones,udit.jain+MIStest@solarsales.in,20/03/25,99868,"Soda Base, Lemon Juice, Blueberry Syrup",
Kristen Davidson,udit.jain+MIStest@solarsales.in,22/01/25,91412,"Lemon Juice, Mango Crush, Mint Mojito",
Benjamin Lin,udit.jain+MIStest@solarsales.in,26/01/25,157578,"Vanilla Frappe, Lemon Juice, Mango Crush",
James Reeves,udit.jain+MIStest@solarsales.in,30/03/25,86679,"Watermelon Syrup, Blueberry Syrup, Mint Mojito",
Vicki Rosario,udit.jain+MIStest@solarsales.in,19/01/25,155591,"Vanilla Frappe, Choco Sauce, Kiwi Crush",
Michael Walker,udit.jain+MIStest@solarsales.in,15/06/25,148196,"Lemon Juice, Vanilla Frappe, Orange Crush",
Adam Beck,udit.jain+MIStest@solarsales.in,02-04-25,102559,"Green Apple Syrup, Kiwi Crush, Soda Base",
David Hanna,udit.jain+MIStest@solarsales.in,02-02-25,167213,"Blueberry Syrup, Mango Crush, Cola Base",
Cassidy Powers,udit.jain+MIStest@solarsales.in,14/03/25,103795,"Blueberry Syrup, Chocolate Frappe, Cola Base",
Walter Davidson,udit.jain+MIStest@solarsales.in,22/02/25,182470,"Chocolate Frappe, Watermelon Syrup, Lime Juice",
Michelle Johnson,udit.jain+MIStest@solarsales.in,05-06-25,59767,"Soda Base, Lime Juice, Blueberry Syrup",
Derek Gardner,udit.jain+MIStest@solarsales.in,25/02/25,234110,"Blueberry Syrup, Mint Mojito, Strawberry Crush",
Jason Townsend,udit.jain+MIStest@solarsales.in,17/04/25,193191,"Orange Crush, Kiwi Crush, Mango Crush",
Deborah Evans,udit.jain+MIStest@solarsales.in,20/03/25,58327,"Strawberry Crush, Orange Crush, Kiwi Crush",
Casey Estrada,udit.jain+MIStest@solarsales.in,13/05/25,197542,"Lemon Juice, Kiwi Crush, Mint Mojito",
Mrs. Cynthia Jones MD,udit.jain+MIStest@solarsales.in,05-04-25,115230,"Lime Juice, Strawberry Crush, Choco Sauce",
Amber Perez,udit.jain+MIStest@solarsales.in,20/02/25,201508,"Kiwi Crush, Soda Base, Strawberry Crush",
Jessica Caldwell,udit.jain+MIStest@solarsales.in,18/04/25,207442,"Vanilla Frappe, Strawberry Crush, Kiwi Crush",
Ronald Lowe Jr.,udit.jain+MIStest@solarsales.in,20/04/25,118160,"Strawberry Crush, Lemon Juice, Blueberry Syrup",
Cindy Friedman,udit.jain+MIStest@solarsales.in,25/04/25,134504,"Soda Base, Vanilla Frappe, Strawberry Crush",
George Bradley,udit.jain+MIStest@solarsales.in,03-04-25,51400,"Kiwi Crush, Mango Crush, Mint Mojito",
Frank White,udit.jain+MIStest@solarsales.in,28/04/25,163651,"Kiwi Crush, Blueberry Syrup, Lime Juice",
Matthew Curtis,udit.jain+MIStest@solarsales.in,11-03-25,183006,"Mint Mojito, Chocolate Frappe, Kiwi Crush",
Lori Sherman,udit.jain+MIStest@solarsales.in,22/04/25,81610,"Mint Mojito, Strawberry Crush, Soda Base",
Sarah Walker,udit.jain+MIStest@solarsales.in,24/04/25,137461,"Orange Crush, Vanilla Frappe, Lemon Juice",
Lindsey Lara,udit.jain+MIStest@solarsales.in,23/05/25,89027,"Orange Crush, Watermelon Syrup, Cola Base",
Mr. Stephen Gardner,udit.jain+MIStest@solarsales.in,15/03/25,82957,"Strawberry Crush, Mint Mojito, Choco Sauce",
Sandra Johnson,udit.jain+MIStest@solarsales.in,10-05-25,92048,"Kiwi Crush, Cola Base, Blueberry Syrup",
Erin Sullivan,udit.jain+MIStest@solarsales.in,31/01/25,205326,"Strawberry Crush, Mint Mojito, Chocolate Frappe",
Michael Bradford,udit.jain+MIStest@solarsales.in,22/05/25,230685,"Mango Crush, Chocolate Frappe, Lemon Juice",
Stephanie Hoffman,udit.jain+MIStest@solarsales.in,30/03/25,158916,"Lemon Juice, Lime Juice, Green Apple Syrup",
Andrea Jackson,udit.jain+MIStest@solarsales.in,22/02/25,106417,"Soda Base, Strawberry Crush, Watermelon Syrup",
Jack Robinson,udit.jain+MIStest@solarsales.in,02-03-25,236874,"Lemon Juice, Lime Juice, Kiwi Crush",
Danielle Swanson,udit.jain+MIStest@solarsales.in,24/02/25,163453,"Orange Crush, Mango Crush, Chocolate Frappe",
Joshua Nguyen,udit.jain+MIStest@solarsales.in,15/04/25,213576,"Green Apple Syrup, Blueberry Syrup, Kiwi Crush",
Mr. Mitchell Gutierrez,udit.jain+MIStest@solarsales.in,27/05/25,249309,"Cola Base, Choco Sauce, Strawberry Crush",
Angela Soto,udit.jain+MIStest@solarsales.in,14/05/25,216500,"Chocolate Frappe, Orange Crush, Vanilla Frappe",
William Jacobson,udit.jain+MIStest@solarsales.in,25/03/25,166825,"Orange Crush, Choco Sauce, Blueberry Syrup",
Daniel Aguirre,udit.jain+MIStest@solarsales.in,03-02-25,94985,"Lime Juice, Orange Crush, Choco Sauce",
Jose Jimenez,udit.jain+MIStest@solarsales.in,11-06-25,146588,"Strawberry Crush, Kiwi Crush, Orange Crush",
Brian White,udit.jain+MIStest@solarsales.in,18/03/25,223056,"Orange Crush, Soda Base, Chocolate Frappe",
Courtney Moreno,udit.jain+MIStest@solarsales.in,28/03/25,79035,"Strawberry Crush, Soda Base, Choco Sauce",
Stephanie Gill,udit.jain+MIStest@solarsales.in,20/04/25,218395,"Kiwi Crush, Choco Sauce, Blueberry Syrup",
Jessica Lynch,udit.jain+MIStest@solarsales.in,07-05-25,218735,"Watermelon Syrup, Green Apple Syrup, Mango Crush",
Rebecca Jefferson,udit.jain+MIStest@solarsales.in,12-03-25,130876,"Choco Sauce, Watermelon Syrup, Mint Mojito",
Kelly Harrell,udit.jain+MIStest@solarsales.in,20/05/25,63134,"Watermelon Syrup, Soda Base, Orange Crush",
Julie Matthews DVM,udit.jain+MIStest@solarsales.in,17/03/25,93162,"Soda Base, Lime Juice, Green Apple Syrup",
Angela Haynes,udit.jain+MIStest@solarsales.in,04-02-25,226143,"Blueberry Syrup, Chocolate Frappe, Strawberry Crush",
Mark King,udit.jain+MIStest@solarsales.in,20/03/25,55859,"Vanilla Frappe, Kiwi Crush, Cola Base",
Susan Miller,udit.jain+MIStest@solarsales.in,18/01/25,230445,"Kiwi Crush, Lemon Juice, Choco Sauce",
Anthony Ray,udit.jain+MIStest@solarsales.in,21/01/25,163170,"Cola Base, Soda Base, Vanilla Frappe",
Kathleen Turner,udit.jain+MIStest@solarsales.in,10-06-25,135032,"Mint Mojito, Kiwi Crush, Blueberry Syrup",
Victor Brown,udit.jain+MIStest@solarsales.in,24/03/25,142864,"Mango Crush, Vanilla Frappe, Orange Crush",
James Dillon,udit.jain+MIStest@solarsales.in,16/02/25,132319,"Orange Crush, Soda Base, Kiwi Crush",
Jeffery Brooks,udit.jain+MIStest@solarsales.in,10-03-25,107902,"Blueberry Syrup, Choco Sauce, Lime Juice",
Maria Stephens,udit.jain+MIStest@solarsales.in,17/05/25,200864,"Kiwi Crush, Green Apple Syrup, Cola Base",
Ronald Sullivan,udit.jain+MIStest@solarsales.in,14/02/25,120077,"Lime Juice, Choco Sauce, Lemon Juice",
Sara Turner,udit.jain+MIStest@solarsales.in,10-05-25,172146,"Choco Sauce, Strawberry Crush, Mango Crush",
Mariah Martin,udit.jain+MIStest@solarsales.in,03-04-25,169490,"Green Apple Syrup, Mango Crush, Vanilla Frappe",
Theresa Pugh,udit.jain+MIStest@solarsales.in,18/05/25,127520,"Strawberry Crush, Watermelon Syrup, Green Apple Syrup",
Steven Watts,udit.jain+MIStest@solarsales.in,26/02/25,132107,"Watermelon Syrup, Lime Juice, Orange Crush",
Dana Patterson,udit.jain+MIStest@solarsales.in,24/01/25,63682,"Soda Base, Vanilla Frappe, Orange Crush",
Sharon Henderson,udit.jain+MIStest@solarsales.in,18/01/25,237926,"Lime Juice, Strawberry Crush, Blueberry Syrup",
Mary Guzman,udit.jain+MIStest@solarsales.in,06-04-25,51931,"Vanilla Frappe, Chocolate Frappe, Orange Crush",
Derrick Ball,udit.jain+MIStest@solarsales.in,21/01/25,50327,"Strawberry Crush, Kiwi Crush, Choco Sauce",
Ashley Nelson,udit.jain+MIStest@solarsales.in,23/02/25,78201,"Lime Juice, Watermelon Syrup, Strawberry Crush",
Pamela Wong,udit.jain+MIStest@solarsales.in,22/02/25,58827,"Mango Crush, Kiwi Crush, Lime Juice",
Jason Reeves,udit.jain+MIStest@solarsales.in,26/02/25,218054,"Mint Mojito, Lemon Juice, Kiwi Crush",
Matthew Arroyo,udit.jain+MIStest@solarsales.in,29/03/25,159526,"Strawberry Crush, Kiwi Crush, Green Apple Syrup",
Angel Barnes,udit.jain+MIStest@solarsales.in,16/05/25,68100,"Chocolate Frappe, Mango Crush, Cola Base",
Melissa Miller,udit.jain+MIStest@solarsales.in,23/03/25,209932,"Blueberry Syrup, Soda Base, Mint Mojito",
Donald Juarez,udit.jain+MIStest@solarsales.in,01-03-25,189586,"Strawberry Crush, Lime Juice, Kiwi Crush",
John Arias,udit.jain+MIStest@solarsales.in,15/04/25,65874,"Vanilla Frappe, Orange Crush, Strawberry Crush",
Samantha Nguyen,udit.jain+MIStest@solarsales.in,30/04/25,71981,"Lime Juice, Kiwi Crush, Watermelon Syrup",
Jack Lopez,udit.jain+MIStest@solarsales.in,17/03/25,131820,"Orange Crush, Blueberry Syrup, Lime Juice",
Andrew Kennedy,udit.jain+MIStest@solarsales.in,12-05-25,165227,"Orange Crush, Lemon Juice, Strawberry Crush",
Elizabeth Herrera,udit.jain+MIStest@solarsales.in,12-02-25,87229,"Vanilla Frappe, Green Apple Syrup, Choco Sauce",
Craig Cain,udit.jain+MIStest@solarsales.in,22/05/25,66284,"Cola Base, Watermelon Syrup, Orange Crush",
Andrew Mayer,udit.jain+MIStest@solarsales.in,27/01/25,99940,"Cola Base, Chocolate Frappe, Strawberry Crush",
Samuel Munoz,udit.jain+MIStest@solarsales.in,23/01/25,196530,"Green Apple Syrup, Chocolate Frappe, Watermelon Syrup",
Reginald Avery,udit.jain+MIStest@solarsales.in,28/01/25,128689,"Green Apple Syrup, Vanilla Frappe, Soda Base",
Tasha Gardner,udit.jain+MIStest@solarsales.in,17/03/25,157589,"Chocolate Frappe, Blueberry Syrup, Orange Crush",
Joseph Pearson,udit.jain+MIStest@solarsales.in,03-03-25,221561,"Chocolate Frappe, Green Apple Syrup, Cola Base",
Melinda Roberts,udit.jain+MIStest@solarsales.in,20/04/25,184498,"Strawberry Crush, Lemon Juice, Vanilla Frappe",
Morgan Blackburn,udit.jain+MIStest@solarsales.in,30/01/25,147273,"Strawberry Crush, Chocolate Frappe, Kiwi Crush",
Cory Pace,udit.jain+MIStest@solarsales.in,27/04/25,197214,"Blueberry Syrup, Strawberry Crush, Watermelon Syrup",
Brandi Hall,udit.jain+MIStest@solarsales.in,14/06/25,220614,"Mint Mojito, Lemon Juice, Lime Juice",
James Cole,udit.jain+MIStest@solarsales.in,09-02-25,82189,"Orange Crush, Vanilla Frappe, Chocolate Frappe",
Jesse Reyes,udit.jain+MIStest@solarsales.in,31/05/25,240419,"Watermelon Syrup, Mint Mojito, Green Apple Syrup",
Caitlin Rodriguez,udit.jain+MIStest@solarsales.in,21/03/25,247898,"Cola Base, Vanilla Frappe, Choco Sauce",
Andrea Moore,udit.jain+MIStest@solarsales.in,02-06-25,216588,"Lime Juice, Vanilla Frappe, Watermelon Syrup",
Nancy Oliver,udit.jain+MIStest@solarsales.in,28/02/25,144184,"Choco Sauce, Green Apple Syrup, Chocolate Frappe",
Brandy Chandler DVM,udit.jain+MIStest@solarsales.in,20/01/25,178084,"Orange Crush, Choco Sauce, Watermelon Syrup",
Jeffery Martin,udit.jain+MIStest@solarsales.in,13/04/25,99248,"Watermelon Syrup, Vanilla Frappe, Green Apple Syrup",
Becky Barajas,udit.jain+MIStest@solarsales.in,21/03/25,193925,"Choco Sauce, Lemon Juice, Strawberry Crush",
Brandon Berry,udit.jain+MIStest@solarsales.in,25/05/25,116460,"Vanilla Frappe, Green Apple Syrup, Blueberry Syrup",
Danielle Long,udit.jain+MIStest@solarsales.in,11-05-25,70489,"Lemon Juice, Orange Crush, Strawberry Crush",
Sandra Hernandez,udit.jain+MIStest@solarsales.in,03-02-25,245263,"Vanilla Frappe, Cola Base, Chocolate Frappe",
Kristopher Mathis,udit.jain+MIStest@solarsales.in,07-05-25,197932,"Strawberry Crush, Choco Sauce, Blueberry Syrup",
Mr. Kenneth Orr,udit.jain+MIStest@solarsales.in,26/02/25,144560,"Soda Base, Watermelon Syrup, Mango Crush",
Joseph Vaughn,udit.jain+MIStest@solarsales.in,05-06-25,135389,"Mango Crush, Soda Base, Strawberry Crush",
Alexis Jackson,udit.jain+MIStest@solarsales.in,12-05-25,123733,"Chocolate Frappe, Mango Crush, Strawberry Crush",
Ann Miller DDS,udit.jain+MIStest@solarsales.in,17/03/25,205677,"Green Apple Syrup, Lime Juice, Mango Crush",
Cynthia Michael,udit.jain+MIStest@solarsales.in,07-05-25,162558,"Lemon Juice, Watermelon Syrup, Chocolate Frappe",
Michelle Johnson,udit.jain+MIStest@solarsales.in,23/01/25,204272,"Choco Sauce, Watermelon Syrup, Soda Base",
William Stein,udit.jain+MIStest@solarsales.in,25/03/25,224848,"Blueberry Syrup, Strawberry Crush, Orange Crush",
Dr. Kimberly Martinez,udit.jain+MIStest@solarsales.in,14/03/25,104656,"Mint Mojito, Choco Sauce, Orange Crush",
Nancy Hoffman,udit.jain+MIStest@solarsales.in,02-04-25,136250,"Blueberry Syrup, Lime Juice, Lemon Juice",
Shawn Chavez,udit.jain+MIStest@solarsales.in,09-06-25,157094,"Cola Base, Mint Mojito, Choco Sauce",
Matthew Jennings,udit.jain+MIStest@solarsales.in,16/02/25,119676,"Blueberry Syrup, Lemon Juice, Chocolate Frappe",
Crystal Summers,udit.jain+MIStest@solarsales.in,17/02/25,170774,"Green Apple Syrup, Strawberry Crush, Watermelon Syrup",
Linda Rodriguez,udit.jain+MIStest@solarsales.in,22/03/25,223973,"Mint Mojito, Orange Crush, Chocolate Frappe",
Julie Jones,udit.jain+MIStest@solarsales.in,04-05-25,190943,"Lemon Juice, Mint Mojito, Strawberry Crush",
Cesar Collins,udit.jain+MIStest@solarsales.in,13/04/25,144831,"Cola Base, Blueberry Syrup, Mint Mojito",
Ian Foster,udit.jain+MIStest@solarsales.in,24/01/25,56521,"Strawberry Crush, Mango Crush, Kiwi Crush",
Christopher Chavez,udit.jain+MIStest@solarsales.in,21/01/25,67951,"Soda Base, Chocolate Frappe, Watermelon Syrup",
Jodi Johnson,udit.jain+MIStest@solarsales.in,21/03/25,168820,"Lime Juice, Orange Crush, Strawberry Crush",
Darlene Jones,udit.jain+MIStest@solarsales.in,19/04/25,199618,"Mint Mojito, Watermelon Syrup, Vanilla Frappe",
Joseph Sanchez,udit.jain+MIStest@solarsales.in,27/04/25,161494,"Kiwi Crush, Orange Crush, Choco Sauce",
Lindsay Bush,udit.jain+MIStest@solarsales.in,28/03/25,85298,"Lime Juice, Soda Base, Green Apple Syrup",
Nathaniel Compton,udit.jain+MIStest@solarsales.in,01-06-25,139232,"Soda Base, Watermelon Syrup, Vanilla Frappe",
Mrs. Samantha Martinez,udit.jain+MIStest@solarsales.in,20/03/25,91401,"Kiwi Crush, Soda Base, Green Apple Syrup",
Daniel Snow,udit.jain+MIStest@solarsales.in,22/03/25,216469,"Soda Base, Mango Crush, Lime Juice",
Angela Pierce,udit.jain+MIStest@solarsales.in,27/01/25,91224,"Kiwi Crush, Orange Crush, Choco Sauce",
David Peterson,udit.jain+MIStest@solarsales.in,31/05/25,145973,"Strawberry Crush, Vanilla Frappe, Blueberry Syrup",
Robert Yang,udit.jain+MIStest@solarsales.in,13/05/25,213089,"Green Apple Syrup, Lime Juice, Choco Sauce",
Ashley Wyatt,udit.jain+MIStest@solarsales.in,06-03-25,181489,"Mango Crush, Choco Sauce, Orange Crush",
Brian Murphy,udit.jain+MIStest@solarsales.in,26/05/25,212410,"Lemon Juice, Watermelon Syrup, Green Apple Syrup",
Cynthia Thompson,udit.jain+MIStest@solarsales.in,13/06/25,72382,"Chocolate Frappe, Strawberry Crush, Lemon Juice",
James Baxter,udit.jain+MIStest@solarsales.in,04-02-25,155624,"Lime Juice, Kiwi Crush, Cola Base",
Kristi Richmond,udit.jain+MIStest@solarsales.in,16/05/25,109197,"Mango Crush, Strawberry Crush, Vanilla Frappe",
Kathleen Jones,udit.jain+MIStest@solarsales.in,21/02/25,198479,"Blueberry Syrup, Lime Juice, Vanilla Frappe",
Mark Carroll,udit.jain+MIStest@solarsales.in,07-06-25,84574,"Kiwi Crush, Chocolate Frappe, Lime Juice",
Steven Sherman,udit.jain+MIStest@solarsales.in,19/03/25,132747,"Mango Crush, Strawberry Crush, Mint Mojito",
Vincent Davis,udit.jain+MIStest@solarsales.in,22/03/25,55386,"Lime Juice, Cola Base, Soda Base",
Debbie Carr,udit.jain+MIStest@solarsales.in,18/02/25,125640,"Chocolate Frappe, Strawberry Crush, Choco Sauce",
Thomas Jones,udit.jain+MIStest@solarsales.in,21/02/25,92167,"Orange Crush, Blueberry Syrup, Soda Base",
Jessica Smith,udit.jain+MIStest@solarsales.in,20/03/25,235153,"Cola Base, Mint Mojito, Mango Crush",
Christopher Simmons,udit.jain+MIStest@solarsales.in,04-03-25,242951,"Lime Juice, Green Apple Syrup, Soda Base",
John Hernandez,udit.jain+MIStest@solarsales.in,24/03/25,170139,"Lime Juice, Orange Crush, Lemon Juice",
Emily Saunders,udit.jain+MIStest@solarsales.in,18/02/25,161287,"Choco Sauce, Orange Crush, Vanilla Frappe",
Michael Hanson,udit.jain+MIStest@solarsales.in,31/03/25,124898,"Mint Mojito, Kiwi Crush, Cola Base",
Derrick Martinez,udit.jain+MIStest@solarsales.in,22/01/25,116673,"Blueberry Syrup, Strawberry Crush, Green Apple Syrup",
Deborah Ferguson,udit.jain+MIStest@solarsales.in,02-06-25,210491,"Lemon Juice, Choco Sauce, Lime Juice",
Scott Hall,udit.jain+MIStest@solarsales.in,01-05-25,109143,"Soda Base, Lime Juice, Vanilla Frappe",
Jeffrey Wagner,udit.jain+MIStest@solarsales.in,20/04/25,213512,"Soda Base, Vanilla Frappe, Lemon Juice",
Anthony Orr,udit.jain+MIStest@solarsales.in,09-03-25,101395,"Green Apple Syrup, Kiwi Crush, Mint Mojito",
Lisa Smith,udit.jain+MIStest@solarsales.in,23/05/25,60421,"Lime Juice, Chocolate Frappe, Kiwi Crush",
Natasha Becker,udit.jain+MIStest@solarsales.in,15/06/25,217590,"Lime Juice, Orange Crush, Green Apple Syrup",
Michelle Dawson,udit.jain+MIStest@solarsales.in,26/04/25,187572,"Vanilla Frappe, Mango Crush, Mint Mojito",
Mark Gibson,udit.jain+MIStest@solarsales.in,14/02/25,82522,"Watermelon Syrup, Mango Crush, Lime Juice",
Leslie Dyer,udit.jain+MIStest@solarsales.in,13/04/25,234885,"Chocolate Frappe, Green Apple Syrup, Mint Mojito",
Michelle Lopez,udit.jain+MIStest@solarsales.in,22/02/25,184750,"Strawberry Crush, Mango Crush, Kiwi Crush",
